English,target
could not analyze disk usage .   ,تحلیل فضای مصرفی دیسک ممکن نیست .
manager ,مدیر
the accessible layer of this object ,لایهدسترسیپذیری این شیا
contact blocking temporarily unavailable ,امکان مسدود کردن اشنا به صورت موقت غیرفعال است
certified ,تاییدشده
xps documents ,سندهای xps
epiphany web bookmarks ,چوبالف هایوب epiphany
try moving card piles around ,سعی کنید دسته های کارت به اطراف حرکت دهید
cannot get message  from folder   ,دسترسی به پیغام ممکن نیست : از پوشهی
show toolbar ,نشان دادن نوار ابزار
override document restrictions ,نادیده گرفتن محدودیت های نوشتار
the audio ringing device is the device that will be used to play the ringing sound on incoming calls .   ,دستگاه ورودی صدا دستگاهی است که توسط مدیر صدا اداره میشود و برای ضبط صدای شما به کار خواهد رفت .
write disc image to a cd or dvd ,نوشتن تصویر دیسک بر روی سیدی یا دیویدی
your first name and surname will be used when connecting to other voip and videoconferencing software .   ,نام و نام خانوادگی شما هنگام اتصال به نرمافزارهای voip و کنفرانس تصویری دیگر استفاده خواهد شد .
find links  :    ,پیدا کردن :
this account already exists on the server ,این حساب از قبل بر روی کارگزار وجود دارد
i nsert a pause ,وارد کردن یک مکث
move  a onto the four of spades .   ,انتقال a بر روی چهار پیک .
s maller text ,م تن کوچکتر
document root ,مستندسازی از
 properties ,ویژگی ها
move  a onto the four of hearts .   ,انتقال a بر روی چهار دل .
select the transmitted video size ,دستگاه خروجی صدای استفاده شونده را انتخاب کنید
enable echo cancelation ,به کار انداختن ترجمهیip
you have been logged out .   ,شما از سیستم خارج شده اید .
new paragraph ,پاراگراف جدید
whether or not to animate card moves ,این که حرکت هایکارت هاپویانماییشود یا خیر
gadu -  gadu work id 2 ,شناسهیکاری jabber 2
balochi ,بلوچی
two button dynamic mode ,حالت کلیدهای فشاری :
whether to use the theme for chat rooms .   ,اینکه از تم برای اتاق های گپ استفاده شود یا خیر .
 password  :    ,گذرواژه :
blank  again ,خالی کردن دوباره
the content of your home folder has changed .   select rescan to update the disk usage details .   ,محتویات شاخهیخانهی شما تغییر کرده است . برای بروزرسانی جزییات استفاده از دیسک ، پویش مجدد را انتخاب کنید .
chat ,گپ
go  online ,برخط شدن
please install the following required applications and libraries manually and try again  :    ,لطفا نرمافزارها و کتابخانه های مقابل را بطور دستی نصب کنید و مجددا تلاش کنید :
place the three of hearts next to the two of hearts .   ,قراردادن سه دل در کنار دو دل .
 search for contacts .   .   .   ,جستجو برای اشناها
the four of hearts ,چهار دل
when files cannot be opened by the browser they are automatically downloaded to the download folder and opened with the appropriate application .   ,وقتی پرونده ها نمیتوانند به وسیلهمرورگر بازشوند به طور خودکار در پوشه بارگیری ، بارگیری میشوند و به وسیله برنامه مناسب باز خواهند شد .
remove the sixes ,حذف شش ها
answer ,پاسخ
at -  spi  :    called  atspi dbus return hyperlink from message with strange signature  ,atspi : فراخوانیatspidbusreturnhyperlinkfrommessage همراه با امضا
enlarge the document ,بزرگ کردن نوشتار
what is your aim password ?   ,گذرواژهیaim شما چیست ؟
open folder ,باز کردن پوشه
loading ,در حال بارگیری
data too large for a single paste .   please save logs to file .   ,داده ها برای یک ارسال بسیار بزرگ است . لطفا رویدادها را بر روی یک پرونده ذخیرهکنید .
custom sans -  serif font ,قلمsansserif :
disable toolbar editing ,از کار انداختن ویرایش نوار ابزار
 title  :    ,عنوان :
deals left  :     a ,معامله های باقیمانده : a
manage certificates ,مدیریت گواهی ها
six of diamonds ,شش خشت
four foundations ,چهار پایه
set to 0 for md5    1 for sha1 and 2 for sha256 ,برای md5 عدد 0 ، برای sha1 عدد 1 و برای sha256 عدد 2 را تنظیم کنید
chessboard ,صفحه شطرنج
cd dvd creator ,سازندهسیدی دیویدی
save as  web application ,ذخیره به عنوان برنامه وب
failed to list rooms ,فهرست کردن اتاق ها شکست خورد
cannot get folder   '     '     :     ,نمیتوان پوشهی « » را گرفت :
not available in offline mode ,این پیغام در حالت منفصل قابل دسترسی نیست .
display help ,نمایش راهنما
authentication failed ,تایید هویت شکست خورد
encoding ,کدگذاری
maximum speed ,حداکثر سرعت
force new window requests to be opened in tabs instead of using a new window .   ,اجبار درخواست های مربوط به باز کردن صفحه در پنجره جدید به باز شدن در یک زبانهبهجای ایچادپنجره ای دیگر
first ,اول
free busy url ,نشانی اینترنتی ازاد مشغول
move  a onto the two of clubs .   ,انتقال a بر روی دوخاج .
i mport certificate ,وارد کردن گواهی
open  with ,باز کردن با
go to page  ,رفتن به صفحه
c ontact ,ا شنا
% 1$ s on % 2$ s ,٪ 1 $ s در ٪ 2 $ sjabberaccount
file corrupted ,پرونده خراب شده است .
contact list ,فهرست اشناها
   refused the connection .   ,« » برقراری اتصال را رد کرد .
open the history window ,باز کردن پنجره تاریخچه
script ,
accessible role ,نقش دسترسیپذیری
 toolbar ,نوارا بزار
export bookmarks ,صدور چوبالف ها
aunt mary ,عمه ماری
coordinated by %  (  plist )  s ,میزبانی شده توسط ٪ ( link ) s .
cannot add smimeenckeyprefs attribute ,نمیتوان مشخصهی smimeenckeyprefs را اضافه کرد
text beside icons ,toolbarstyle
about solitaire ,بازی با ورقتکنفرهیaisleriot
 paste ,چسباندن
same suit ,عنوان بازی
boolean options available  :    true enables thumbnailing and false disables the creation of new thumbnails ,دو گزینه بولی ممکن است ، درست مسطورهسازی را به کار میاندازد و نادرست ایجاد مسطوره های جدید را قطع میکند
send  to ,ارسال به
tatar ,تاتاری
remove the four of hearts .   ,حذف ده دل .
the king of clubs ,شاه خاج
no such folder  ,پوشهی وجود ندارد
leave fullscreen mode and go back to windowed mode ,ترک حالت تمامصفحه و برگشتن به حالت پنجره ای
